Ifbk,IfbkTgt,SpdTgt,SpdAct
3,-2000,45000,67318
21,-2000,45000,67586
19,-2000,45000,67339
10,-2000,45000,67243
9,-2000,45000,66622
16,-2000,45000,65906
6,-2000,45000,66526
9,-2000,45000,67203
1,-2000,45000,67440
27,-2000,45000,67442
25,-2000,45000,67517
12,-2000,45000,67142
9,-2000,45000,67481
16,-2000,45000,67283
0,-2000,45000,67578
4,-2000,45000,67326
27,-2000,45000,67600
19,-2000,45000,67342
12,-2000,45000,67613
6,-2000,45000,67350
12,-2000,45000,67615
6,-2000,45000,67351
4,-2000,45000,67616
3,-2000,45000,67351
10,-2000,45000,67616
22,-2000,45000,67351
7,-2000,45000,67616
3,-2000,45000,67351
16,-2000,45000,67616
3,-2000,45000,67351
4,-2000,45000,67616
10,-2000,45000,67351
25,-2000,45000,67616
18,-2000,45000,67351
10,-2000,45000,67616
16,-2000,45000,67351
9,-2000,45000,67259
9,-2000,45000,66479
0,-2000,45000,66999
13,-2000,45000,66887
16,-2000,45000,67363
19,-2000,45000,67221
6,-2000,45000,67564
18,-2000,45000,67332
16,-2000,45000,66313
7,-2000,45000,66528
6,-2000,45000,66987
28,-2000,45000,67436
28,-2000,45000,67395
10,-2000,45000,67424
16,-2000,45000,67053
19,-2000,45000,67429
6,-2000,45000,67248
16,-2000,45000,67564
13,-2000,45000,66998
16,-2000,45000,66337
24,-2000,45000,66535
10,-2000,45000,66905
12,-2000,45000,67230
16,-2000,45000,67373
9,-2000,45000,67465
9,-2000,45000,66844
27,-2000,45000,67111
33,-2000,45000,67050
18,-2000,45000,67460
13,-2000,45000,67280
19,-2000,45000,67592
7,-2000,45000,67343
7,-2000,45000,67616
12,-2000,45000,67351
21,-2000,45000,67067
22,-2000,45000,67107
10,-2000,45000,67543
7,-2000,45000,67693
16,-2000,45000,67784
6,-2000,45000,67404
10,-2000,45000,67820
10,-2000,45000,67587
21,-2000,45000,67593
19,-2000,45000,67535
3,-2000,45000,67528
15,-2000,45000,67505
10,-2000,45000,67519
6,-2000,45000,67503
9,-2000,45000,67518
25,-2000,45000,67502
22,-2000,45000,67518
16,-2000,45000,67502
12,-2000,45000,67166
16,-2000,45000,66925
9,-2000,45000,67410
15,-2000,45000,67150
9,-2000,45000,67500
21,-2000,45000,67294
24,-2000,45000,67584
9,-2000,45000,67330
18,-2000,45000,67233
19,-2000,45000,66606
7,-2000,45000,66073
12,-2000,45000,66671
21,-2000,45000,67274
25,-2000,45000,67463
19,-2000,45000,67299
9,-2000,45000,67715
16,-2000,45000,67301
9,-2000,45000,67571
21,-2000,45000,67329
6,-2000,45000,67596
18,-2000,45000,67039
22,-2000,45000,66278
10,-2000,45000,66203
4,-2000,45000,66688
16,-2000,45000,67133
9,-2000,45000,67344
15,-2000,45000,67103
16,-2000,45000,66743
28,-2000,45000,67111
24,-2000,45000,67299
9,-2000,45000,67414
10,-2000,45000,67464
16,-2000,45000,67500
3,-2000,45000,67499
10,-2000,45000,67512
22,-2000,45000,67502
19,-2000,45000,67114
13,-2000,45000,67440
6,-2000,45000,67694
12,-2000,45000,67686
4,-2000,45000,67631
9,-2000,45000,67578
0,-2000,45000,67556
15,-2000,45000,67519
21,-2000,45000,67518
9,-2000,45000,67504
7,-2000,45000,67513
16,-2000,45000,67503
3,-2000,45000,67513
-1,-2000,45000,67503
9,-2000,45000,67513
21,-2000,45000,67503
16,-2000,45000,67513
9,-2000,45000,67502
16,-2000,45000,67512
9,-2000,45000,67502
7,-2000,45000,67512
9,-2000,45000,67502
9,-2000,45000,67231
24,-2000,45000,66936
9,-2000,45000,67257
1,-2000,45000,67103
22,-2000,45000,67485
6,-2000,45000,67283
0,-2000,45000,67580
7,-2000,45000,66502
22,-2000,45000,66199
18,-2000,45000,66691
15,-2000,45000,67242
9,-2000,45000,67348
18,-2000,45000,67641
6,-2000,45000,67384
16,-2000,45000,67389
16,-2000,45000,67262
18,-2000,45000,67372
21,-2000,45000,67397
