Current,Position,PosTgt,Speed,PosEst,DistEst,CurrentTgt,Voltage,Current-A,Channel 10
-38,-4833,0,65514,-4842,480,-76,12000,0,1.34351e+07
-25,-4698,0,66053,-4711,367,32,12000,0,1.34351e+07
-33,-4563,0,66571,-4577,242,-55,12000,0,1.34351e+07
-17,-4428,0,66882,-4442,116,-84,12000,0,1.34351e+07
-30,-4293,0,67237,-4307,-25,-98,12000,0,1.34351e+07
-24,-4158,0,67328,-4172,-168,-109,12000,0,1.34351e+07
-22,-4023,0,67980,-4036,-302,-154,12000,0,1.34351e+07
-12,-3888,0,68750,-3899,-433,-159,12000,0,1.34351e+07
-22,-3753,0,67671,-3762,-539,-164,12000,0,1.34351e+07
-24,-3618,0,67986,-3624,-637,-164,12000,0,1.34351e+07
-12,-3483,0,68109,-3487,-707,-170,12000,0,1.34351e+07
-20,-3339,0,68579,-3349,-770,-160,12000,0,1.34351e+07
-15,-3204,0,68338,-3212,-828,-160,12000,0,1.34351e+07
-17,-3069,0,68520,-3075,-878,-197,12000,0,1.34351e+07
-13,-2934,0,68555,-2939,-923,-200,12000,0,1.34351e+07
-19,-2799,0,68997,-2801,-975,-190,12000,0,1.34351e+07
-3,-2655,0,68829,-2663,-1018,-189,12000,0,1.34351e+07
-9,-2520,0,68877,-2525,-1057,-219,12000,0,1.34351e+07
-14,-2385,0,68794,-2388,-1092,-219,12000,0,1.34351e+07
-11,-2241,0,68848,-2250,-1132,-209,12000,0,1.34351e+07
-10,-2106,0,68445,-2113,-1169,-209,12000,0,1.34351e+07
-15,-1971,0,68484,-1975,-1203,-237,12000,0,1.34351e+07
-13,-1836,0,68859,-1838,-1233,-236,12000,0,1.34351e+07
-4,-1692,0,68900,-1698,-1266,-228,12000,0,1.34351e+07
-18,-1557,0,69036,-1560,-1301,-253,12000,0,1.34351e+07
-16,-1422,0,68805,-1423,-1333,-253,12000,0,1.34351e+07
-25,-1278,0,68753,-1285,-1365,-240,12000,0,1.34351e+07
-2,-1143,0,68815,-1147,-1390,-265,12000,0,1.34351e+07
-21,-1008,0,68894,-1009,-1417,-256,12000,0,1.34351e+07
-11,-864,0,68899,-871,-1443,-254,12000,0,1.34351e+07
-10,-729,0,69021,-733,-1466,-278,12000,0,1.34351e+07
-3,-594,0,69176,-595,-1496,-270,12000,0,1.34351e+07
-19,-450,0,68826,-457,-1521,-267,12000,0,1.34351e+07
-9,-315,0,68839,-319,-1546,-289,12000,0,1.34351e+07
-14,-180,0,68995,-182,-1571,-287,12000,0,1.34351e+07
-12,-36,0,68388,-44,-1595,-281,12000,0,1.34351e+07
-11,99,0,68164,92,-1619,-281,12000,0,1.34351e+07
-22,234,0,68834,230,-1644,-304,12000,0,1.34351e+07
-13,369,0,68647,367,-1669,-298,12000,0,1.34351e+07
-17,513,0,68132,504,-1691,-295,12000,0,1.34351e+07
-15,648,0,68575,642,-1713,-317,12000,0,1.34351e+07
-19,783,0,68899,779,-1739,-317,12000,0,1.34351e+07
-3,927,0,68916,917,-1771,-310,12000,0,1.34351e+07
-12,1062,0,68766,1057,-1795,-309,12000,0,1.34351e+07
-15,1197,0,69130,1194,-1818,-330,12000,0,1.34351e+07
-16,1341,0,68605,1332,-1838,-329,12000,0,1.34351e+07
-13,1476,0,68699,1469,-1860,-320,12000,0,1.34351e+07
-14,1611,0,68319,1606,-1881,-338,12000,0,1.34351e+07
-18,1746,0,68955,1744,-1904,-338,12000,0,1.34351e+07
-16,1890,0,68659,1881,-1927,-331,12000,0,1.34351e+07
-15,2025,0,68806,2019,-1950,-350,12000,0,1.34351e+07
-16,2160,0,69272,2157,-1975,-350,12000,0,1.34351e+07
-19,2304,0,68982,2295,-1996,-344,12000,0,1.34351e+07
-7,2439,0,68678,2432,-2016,-361,12000,0,1.34351e+07
-20,2574,0,69344,2571,-2043,-360,12000,0,1.34351e+07
-11,2718,0,68907,2709,-2064,-353,12000,0,1.34351e+07
-15,2853,0,68821,2847,-2078,-370,12000,0,1.34351e+07
-5,2988,0,69580,2985,-2101,-369,12000,0,1.34351e+07
-19,3132,0,68605,3123,-2118,-362,12000,0,1.34351e+07
-12,3267,0,68963,3261,-2133,-379,12000,0,1.34351e+07
-13,3402,0,69018,3398,-2152,-379,12000,0,1.34351e+07
-6,3546,0,68939,3536,-2172,-373,12000,0,1.34351e+07
-12,3681,0,68631,3674,-2188,-372,12000,0,1.34351e+07
-16,3816,0,68828,3814,-2204,-389,12000,0,1.34351e+07
-13,3951,0,69013,3951,-2220,-389,12000,0,1.34351e+07
-9,4095,0,68560,4088,-2238,-383,12000,0,1.34351e+07
-10,4230,0,68615,4225,-2254,-397,12000,0,1.34351e+07
-21,4365,0,68795,4363,-2275,-396,12000,0,1.34351e+07
-3,4509,0,68609,4500,-2293,-392,12000,0,1.34351e+07
-13,4644,0,68865,4638,-2315,-407,12000,0,1.34351e+07
-13,4779,0,68633,4775,-2331,-407,12000,0,1.34351e+07
-15,4923,0,69179,4913,-2352,-402,12000,0,1.34351e+07
3,5058,0,68954,5051,-2369,-401,12000,0,1.34351e+07
-12,5193,0,68297,5188,-2381,-416,12000,0,1.34351e+07
-11,5328,0,69164,5326,-2394,-417,12000,0,1.34351e+07
-12,5472,0,68905,5463,-2411,-412,12000,0,1.34351e+07
-6,5607,0,68719,5600,-2428,-426,12000,0,1.34351e+07
-8,5742,0,68503,5738,-2447,-427,12000,0,1.34351e+07
-16,5877,0,68824,5876,-2466,-422,12000,0,1.34351e+07
-12,6021,0,68880,6014,-2484,-421,12000,0,1.34351e+07
-13,6156,0,68881,6151,-2500,-435,12000,0,1.34351e+07
-9,6291,0,69092,6289,-2516,-434,12000,0,1.34351e+07
-21,6435,0,68658,6427,-2532,-429,12000,0,1.34351e+07
-3,6570,0,69276,6567,-2553,-443,12000,0,1.34351e+07
-11,6705,0,68994,6705,-2568,-442,12000,0,1.34351e+07
-9,6849,0,68680,6843,-2580,-438,12000,0,1.34351e+07
-21,6984,0,69024,6981,-2595,-450,12000,0,1.34351e+07
-3,7119,0,68654,7118,-2606,-445,12000,0,1.34351e+07
-13,7263,0,68650,7255,-2617,-445,12000,0,1.34351e+07
-14,7398,0,68933,7393,-2631,-458,12000,0,1.34351e+07
-17,7533,0,68826,7530,-2647,-458,12000,0,1.34351e+07
-15,7677,0,68759,7667,-2665,-454,12000,0,1.34351e+07
-13,7812,0,68800,7805,-2679,-454,12000,0,1.34351e+07
-17,7947,0,68899,7942,-2694,-468,12000,0,1.34351e+07
-10,8082,0,69045,8080,-2712,-467,12000,0,1.34351e+07
-23,8226,0,68670,8217,-2729,-463,12000,0,1.34351e+07
-15,8361,0,68344,8355,-2744,-463,12000,0,1.34351e+07
-16,8496,0,68414,8492,-2757,-476,12000,0,1.34351e+07
-3,8631,0,68953,8630,-2774,-472,12000,0,1.34351e+07
-23,8775,0,68911,8768,-2788,-471,12000,0,1.34351e+07
-12,8910,0,68467,8905,-2798,-484,12000,0,1.34351e+07
-21,9045,0,69281,9043,-2813,-485,12000,0,1.34351e+07
-7,9189,0,68980,9180,-2830,-480,12000,0,1.34351e+07
-11,9324,0,68325,9320,-2843,-479,12000,0,1.34351e+07
-22,9459,0,68949,9458,-2859,-493,12000,0,1.34351e+07
-11,9603,0,68789,9596,-2874,-488,12000,0,1.34351e+07
-23,9738,0,69063,9733,-2886,-498,12000,0,1.34351e+07
-9,9873,0,68922,9871,-2900,-497,12000,0,1.34351e+07
-15,10017,0,68593,10008,-2913,-493,12000,0,1.34351e+07
-10,10152,0,69202,10147,-2932,-505,12000,0,1.34351e+07
-17,10287,0,69024,10285,-2949,-504,12000,0,1.34351e+07
-9,10431,0,68811,10423,-2961,-500,12000,0,1.34351e+07
-18,10566,0,68615,10560,-2974,-500,12000,0,1.34351e+07
-3,10701,0,69312,10698,-2989,-513,12000,0,1.34351e+07
-16,10845,0,68624,10836,-2999,-507,12000,0,1.34351e+07
-17,10980,0,68835,10973,-3007,-508,12000,0,1.34351e+07
-17,11115,0,68816,11111,-3017,-520,12000,0,1.34351e+07
-12,11250,0,68750,11248,-3029,-520,12000,0,1.34351e+07
-15,11394,0,68944,11385,-3041,-516,12000,0,1.34351e+07
-13,11529,0,68675,11523,-3055,-516,12000,0,1.34351e+07
-11,11664,0,68323,11660,-3067,-528,12000,0,1.34351e+07
-23,11799,0,69125,11798,-3084,-525,12000,0,1.34351e+07
-9,11943,0,68735,11936,-3098,-523,12000,0,1.34351e+07
-15,12078,0,68895,12075,-3110,-535,12000,0,1.34351e+07
-9,12213,0,68932,12213,-3126,-535,12000,0,1.34351e+07
-21,12357,0,68454,12351,-3140,-531,12000,0,1.34351e+07
-9,12492,0,68503,12488,-3150,-541,12000,0,1.34351e+07
-11,12627,0,68759,12625,-3164,-540,12000,0,1.34351e+07
-3,12771,0,68861,12763,-3180,-536,12000,0,1.34351e+07
-13,12906,0,68956,12901,-3195,-548,12000,0,1.34351e+07
